no_punggung;id_jabatan_duta;id_jabatan_manajer_group;id_manager_group;Id_manager area
017085;5;;017086;017168
017086;5;4;017086;017168
017087;5;;017086;017168
017088;5;4;017088;017168
017089;5;;017088;017168
017090;5;;017088;017168
017091;5;;017088;017168
017092;5;;017088;017168
017093;5;;017088;017168
017094;5;;017088;017168
017095;5;;017088;017168
017096;5;;017088;017168
017097;5;;017088;017168
017098;5;;017100;017168
017099;5;;017100;017168
017100;5;4;017100;017168
017101;5;;017100;017168
017102;5;;017100;017168
017103;5;;017100;017168
017104;5;;017100;017168
017105;5;;017100;017168
017106;5;;017109;017168
017107;5;;017109;017168
017108;5;;017109;017168
017109;5;4;017109;017168
017110;5;;017109;017168
017111;5;;017109;017168
017112;5;;017109;017168
017113;5;;017119;017168
017114;5;;017119;017168
017115;5;;017119;017168
017116;5;;017119;017168
017117;5;;017119;017168
017118;5;;017119;017168
017119;5;4;017119;017168
017120;5;;017122;017168
017121;5;;017122;017168
017122;5;4;017122;017168
017123;5;;017122;017168
017124;5;;017122;017168
017125;5;;017122;017168
017126;5;;017122;017168
017127;5;;017122;017168
017128;5;;017122;017168
017129;5;;017134;017168
017130;5;;017134;017168
017131;5;;017134;017168
017132;5;;017134;017168
017133;5;;017134;017168
017134;5;4;017134;017168
017135;5;;017134;017168
017136;5;;017137;017168
017137;5;4;017137;017168
017138;5;;017137;017168
017139;5;;017137;017168
017140;5;;017137;017168
017141;5;;017137;017168
017142;5;;017147;017168
017143;5;;017147;017168
017144;5;;017147;017168
017145;5;;017147;017168
017146;5;;017147;017168
017147;5;4;017147;017168
017148;5;;017151;017168
017149;5;;017151;017168
017150;5;;017151;017168
017151;5;4;017151;017168
017152;5;;017151;017168
017153;5;;017151;017168
017154;5;;017156;017168
017155;5;;017156;017168
017156;5;4;017156;017168
017157;5;;017156;017168
017158;5;;017156;017168
017159;5;;017156;017168
017160;5;;017166;017168
017161;5;;017166;017168
017162;5;;017166;017168
017163;5;;017166;017168
017164;5;;017166;017168
017165;5;;017166;017168
017166;5;4;017166;017168
017167;5;;017171;017168
017168;5;;017171;017168
017169;5;;017171;017168
017170;5;;017171;017168
017171;5;4;017171;017168
017172;5;;017171;017168
017173;5;;017171;017168
017174;5;;017171;017168
017175;5;;017171;017168
017176;5;4;017176;017168
017177;5;;017176;017168
017178;5;;017176;017168
017179;5;;017176;017168
017180;5;;017176;017168
017181;5;;017185;017168
017182;5;;017185;017168
017183;5;;017185;017168
017184;5;;017185;017168
017185;5;4;017185;017168
017186;5;;017185;017168
017187;5;;017190;017168
017188;5;;017190;017168
017189;5;;017190;017168
017190;5;4;017190;017168
017191;5;;017190;017168
017192;5;;017190;017168
017193;5;;017190;017168
017194;5;;017190;017168
017195;5;;017202;017168
017196;5;;017202;017168
017197;5;;017202;017168
017198;5;;017202;017168
017199;5;;017202;017168
017200;5;;017202;017168
017201;5;;017202;017168
017202;5;4;017202;017168
017203;5;;017207;017168
017204;5;;017207;017168
017205;5;;017207;017168
017206;5;;017207;017168
017207;5;4;017207;017168
017208;5;;017207;017168
017209;5;;017207;017168
017210;5;;017207;017168
017211;5;;017207;017168
017212;5;;017207;017168
017213;5;;017218;017168
017214;5;;017218;017168
017215;5;;017218;017168
017216;5;;017218;017168
017217;5;;017218;017168
017218;5;4;017218;017168
017219;5;;017221;017168
017220;5;;017221;017168
017221;5;4;017221;017168
017222;5;;017221;017168
017223;5;;017221;017168
017224;5;;017221;017168
017225;5;;017221;017168
017226;5;;017227;017168
017227;5;4;017227;017168
017228;5;;017227;017168
017229;5;;017227;017168
017230;5;;017227;017168
017231;5;;017227;017168
017232;5;;017227;017168
017233;5;;017236;017168
017234;5;;017236;017168
017235;5;;017236;017168
017236;5;4;017236;017168
017237;5;;017236;017168
017238;5;;017236;017168
017239;5;;017236;017168
017240;5;;017236;017168
017241;5;;017245;017168
017242;5;;017245;017168
017243;5;;017245;017168
017244;5;;017245;017168
017245;5;4;017245;017168
017246;5;;017245;017168
017247;5;;017245;017168
017248;5;;017245;017168
017249;5;;017245;017168
017250;5;;017252;017168
017251;5;;017252;017168
017252;5;4;017252;017168
017253;5;;017252;017168
